id;identificador;ubicacion;latitud;longitud;municipio_id;provincia_id;id_departamento
1227;COR012-01;;0.0;0.0;COR012;AR-W;1419
1164;COR012-02;;0.0;0.0;COR012;AR-W;1419
1165;COR012-03;;0.0;0.0;COR012;AR-W;1419
1163;COR012-04;;0.0;0.0;COR012;AR-W;1419
1199;SFE054-01;;0.0;0.0;SFE054;AR-S;1684
1257;BUE069-01;;0.0;0.0;BUE069;AR-B;1263
754;BUE069-02;;0.0;0.0;BUE069;AR-B;1263
1109;BUE069-03;;0.0;0.0;BUE069;AR-B;1263
1190;RNO035-01;;0.0;0.0;RNO035;AR-R;1578
547;CAT004-02;;0.0;0.0;CAT004;AR-K;1332
1098;BUE016-01;;0.0;0.0;BUE016;AR-B;1210
745;SFE188-01;;0.0;0.0;SFE188;AR-S;1692
1166;CHA002-01;;0.0;0.0;CHA002;AR-H;1347
1167;CHA002-02;;0.0;0.0;CHA002;AR-H;1347
681;CHA002-03;;0.0;0.0;CHA002;AR-H;1347
1201;SFE301-01;;0.0;0.0;SFE301;AR-S;1683
1244;CAT032-01;;0.0;0.0;CAT032;AR-K;1337
1048;CAT032-02;;0.0;0.0;CAT032;AR-K;1337
1107;CAT032-03;;0.0;0.0;CAT032;AR-K;1337
1311;SLU005-01;;0.0;0.0;SLU005;AR-D;1599
1161;CHA007-01;;0.0;0.0;CHA007;AR-H;1350
1318;JUJ051-01;;0.0;0.0;JUJ051;AR-Y;1465
1250;SFE224-01;;0.0;0.0;SFE224;AR-S;1692
1308;SAL034-01;;0.0;0.0;SAL034;AR-A;1669
337;COR069-01;;0.0;0.0;COR069;AR-W;1431
1129;BUE113-01;;0.0;0.0;BUE113;AR-B;1308
1299;TUC109-01;;0.0;0.0;TUC109;AR-T;1643
1319;JUJ002-01;;0.0;0.0;JUJ002;AR-Y;1459
1320;JUJ002-03;;0.0;0.0;JUJ002;AR-Y;1459
1302;SAL046-01;;0.0;0.0;SAL046;AR-A;1672
1309;SAL059-01;;0.0;0.0;SAL059;AR-A;1682
1216;SAL059-02;;0.0;0.0;SAL059;AR-A;1682
586;COR007-02;;0.0;0.0;COR007;AR-W;1415
770;SFE126-01;;0.0;0.0;SFE126;AR-S;1687
1256;SLU019-01;;0.0;0.0;SLU019;AR-D;1599
1314;SLU019-02;;0.0;0.0;SLU019;AR-D;1599
1202;SFE360-01;;0.0;0.0;SFE360;AR-S;1684
1121;CBA157-01;;0.0;0.0;CBA157;AR-X;1388
1002;COR027-01;;0.0;0.0;COR027;AR-W;1417
1243;FOR031-01;;0.0;0.0;FOR031;AR-P;1453
1180;RNO043-01;;0.0;0.0;RNO043;AR-R;1566
1200;SFE257-01;;0.0;0.0;SFE257;AR-S;1689
796;SJU014-03;;0.0;0.0;SJU014;AR-J;1592
1291;CHU031-01;;0.0;0.0;CHU031;AR-U;1379
1168;COR068-01;;0.0;0.0;COR068;AR-W;1414
1293;NEU026-01;;0.0;0.0;NEU026;AR-Q;1554
778;SFE335-01;;0.0;0.0;SFE335;AR-S;1692
691;CBA357-01;;0.0;0.0;CBA357;AR-X;1393
1279;SFE175-01;;0.0;0.0;SFE175;AR-S;1695
1313;CBA233-01;;0.0;0.0;CBA233;AR-X;1402
1141;CHU004-01;;0.0;0.0;CHU004;AR-U;1369
1170;SFE227-01;;0.0;0.0;SFE227;AR-S;1694
1171;SFE227-02;;0.0;0.0;SFE227;AR-S;1694
1169;SFE227-03;;0.0;0.0;SFE227;AR-S;1694
671;TUC036-01;;0.0;0.0;TUC036;AR-T;1651
374;CBA404-01;;0.0;0.0;CBA404;AR-X;1391
317;MIS047-01;;0.0;0.0;MIS047;AR-N;1544
1263;CHU022-01;;0.0;0.0;CHU022;AR-U;1376
1264;CHU022-03;;0.0;0.0;CHU022;AR-U;1376
1260;CHU022-04;;0.0;0.0;CHU022;AR-U;1376
1138;TUC012-01;;0.0;0.0;TUC012;AR-T;1646
1186;TUC012-02;;0.0;0.0;TUC012;AR-T;1646
1307;SAL044-02;;0.0;0.0;SAL044;AR-A;1680
1123;CBA296-01;;0.0;0.0;CBA296;AR-X;1395
1175;SFE094-01;;0.0;0.0;SFE094;AR-S;1696
549;BUE072-01;;0.0;0.0;BUE072;AR-B;1267
550;BUE072-02;;0.0;0.0;BUE072;AR-B;1267
811;CBA381-02;;0.0;0.0;CBA381;AR-X;1383
1229;COR026-01;;0.0;0.0;COR026;AR-W;1427
1219;CBA014-01;;0.0;0.0;CBA014;AR-X;1387
1189;TUC055-01;;0.0;0.0;TUC055;AR-T;1649
964;SCR014-01;;0.0;0.0;SCR014;AR-Z;1613
1237;SAL005-01;;0.0;0.0;SAL005;AR-A;1663
1206;SFE348-01;;0.0;0.0;SFE348;AR-S;1696
1238;TUC007-01;;0.0;0.0;TUC007;AR-T;1648
1239;TUC007-02;;0.0;0.0;TUC007;AR-T;1648
404;SGO035-01;;0.0;0.0;SGO035;AR-G;1625
646;TUC004-01;;0.0;0.0;TUC004;AR-T;1646
324;COR049-01;;0.0;0.0;COR049;AR-W;1431
615;SFE143-01;;0.0;0.0;SFE143;AR-S;1684
1178;SFE143-02;;0.0;0.0;SFE143;AR-S;1684
344;SFE143-03;;0.0;0.0;SFE143;AR-S;1684
1179;RNO057-01;;0.0;0.0;RNO057;AR-R;1576
1287;SFE290-01;;0.0;0.0;SFE290;AR-S;1700
788;SLU003-02;;0.0;0.0;SLU003;AR-D;1599
1253;NEU032-01;;0.0;0.0;NEU032;AR-Q;1553
1265;SCR006-01;;0.0;0.0;SCR006;AR-Z;1611
1214;SJU007-02;;0.0;0.0;SJU007;AR-J;1585
456;CBA397-01;;0.0;0.0;CBA397;AR-X;1398
1301;SGO900-01;;0.0;0.0;SGO900;AR-G;1634
1220;CBA091-01;;0.0;0.0;CBA091;AR-X;1387
1295;SCR018-02;;0.0;0.0;SCR018;AR-Z;1609
325;COR025-01;;0.0;0.0;COR025;AR-W;1412
1043;SFE199-01;;0.0;0.0;SFE199;AR-S;1695
561;CBA301-01;;0.0;0.0;CBA301;AR-X;1398
1156;BUE090-02;;0.0;0.0;BUE090;AR-B;1285
804;LAP034-02;;0.0;0.0;LAP034;AR-L;1483
1110;CAT005-02;;0.0;0.0;CAT005;AR-K;1333
1276;SFE038-01;;0.0;0.0;SFE038;AR-S;1688
1158;MIS064-02;;0.0;0.0;MIS064;AR-N;1543
1275;CBA317-01;;0.0;0.0;CBA317;AR-X;1383
1255;SAL022-01;;0.0;0.0;SAL022;AR-A;1666
347;TUC030-01;;0.0;0.0;TUC030;AR-T;1648
1290;SFE115-01;;0.0;0.0;SFE115;AR-S;1701
1249;SFE284-01;;0.0;0.0;SFE284;AR-S;1693
1185;COR016-01;;0.0;0.0;COR016;AR-W;1423
1198;SFE073-01;;0.0;0.0;SFE073;AR-S;1689
553;FOR004-01;;0.0;0.0;FOR004;AR-P;1453
333;CBA193-01;;0.0;0.0;CBA193;AR-X;1407
642;COR067-02;;0.0;0.0;COR067;AR-W;1413
1195;SFE202-01;;0.0;0.0;SFE202;AR-S;1696
1205;SFE318-01;;0.0;0.0;SFE318;AR-S;1694
1217;SLU007-01;;0.0;0.0;SLU007;AR-D;1599
396;ERI036-01;;0.0;0.0;ERI036;AR-E;1439
391;CBA366-01;;0.0;0.0;CBA366;AR-X;1393
1233;SAL038-01;;0.0;0.0;SAL038;AR-A;1679
304;SFE056-01;;0.0;0.0;SFE056;AR-S;1696
1240;SCR007-01;;0.0;0.0;SCR007;AR-Z;1611
1241;SCR007-02;;0.0;0.0;SCR007;AR-Z;1611
1196;SFE144-01;;0.0;0.0;SFE144;AR-S;1701
1278;CBA231-01;;0.0;0.0;CBA231;AR-X;1391
1197;SFE336-01;;0.0;0.0;SFE336;AR-S;1701
1284;CBA066-01;;0.0;0.0;CBA066;AR-X;1401
1282;SFE275-01;;0.0;0.0;SFE275;AR-S;1690
1204;SFE264-01;;0.0;0.0;SFE264;AR-S;1684
1248;SFE178-01;;0.0;0.0;SFE178;AR-S;1694
375;CBA234-01;;0.0;0.0;CBA234;AR-X;1388
294;RNO021-01;;0.0;0.0;RNO021;AR-R;1569
1209;SFE266-01;;0.0;0.0;SFE266;AR-S;1683
525;SFE028-01;;0.0;0.0;SFE028;AR-S;1689
536;CBA168-01;;0.0;0.0;CBA168;AR-X;1391
1162;COR059-01;;0.0;0.0;COR059;AR-W;1425
349;SFE295-01;;0.0;0.0;SFE295;AR-S;1690
1203;SFE260-01;;0.0;0.0;SFE260;AR-S;1687
1283;CBA095-01;;0.0;0.0;CBA095;AR-X;1387
1274;SFE217-01;;0.0;0.0;SFE217;AR-S;1683
378;CBA329-01;;0.0;0.0;CBA329;AR-X;1391
1106;TUC097-01;;0.0;0.0;TUC097;AR-T;1650
1242;CBA246-01;;0.0;0.0;CBA246;AR-X;1386
1061;SFE116-01;;0.0;0.0;SFE116;AR-S;1690
1289;SFE325-01;;0.0;0.0;SFE325;AR-S;1689
1231;CBA155-01;;0.0;0.0;CBA155;AR-X;1386
1218;TUC015-01;;0.0;0.0;TUC015;AR-T;1651
1023;COR020-01;;0.0;0.0;COR020;AR-W;1425
1135;CHU030-01;;0.0;0.0;CHU030;AR-U;1379
1208;SFE326-01;;0.0;0.0;SFE326;AR-S;1689
1117;JUJ041-01;;0.0;0.0;JUJ041;AR-Y;1470
340;MIS060-01;;0.0;0.0;MIS060;AR-N;1540
776;CBA398-01;;0.0;0.0;CBA398;AR-X;1400
315;MIS042-01;;0.0;0.0;MIS042;AR-N;1539
1281;CBA206-01;;0.0;0.0;CBA206;AR-X;1402
1221;CBA318-01;;0.0;0.0;CBA318;AR-X;1382
1053;SFE160-01;;0.0;0.0;SFE160;AR-S;1689
348;SFE337-01;;0.0;0.0;SFE337;AR-S;1696
1207;SFE011-01;;0.0;0.0;SFE011;AR-S;1689
1258;SFE288-01;;0.0;0.0;SFE288;AR-S;1688
1297;SFE206-01;;0.0;0.0;SFE206;AR-S;1695
1177;RNO071-01;;0.0;0.0;RNO071;AR-R;1566
123;CLAU777;moro;4.4e+16;4.4e+16;tuc100;AR-T;1648
666;CLAU666;moro;3300000000000000.0;4400000000000000.0;tuc100;AR-T;1648
8765544;NINFA1;;45.0;89.0;ARK76;AR-K;1333
