municipio_id;provincia_id;id_departamento;municipio;provincia;departamento
TUC034;AR-M;1527;San Carlos;Mendoza;San Carlos
SAL059;AR-M;1527;San Carlos;Mendoza;San Carlos
COR007;AR-M;1527;San Carlos;Mendoza;San Carlos
SFE126;AR-M;1527;San Carlos;Mendoza;San Carlos
BUE032;AR-M;1527;San Carlos;Mendoza;San Carlos
CBA222;AR-M;1527;San Carlos;Mendoza;San Carlos
ERI032;AR-M;1527;San Carlos;Mendoza;San Carlos
BUE080;AR-M;1532;Tupungato;Mendoza;Tupungato
CBA095;AR-M;1530;Santa Rosa;Mendoza;Santa Rosa
TUC106;AR-M;1530;Santa Rosa;Mendoza;Santa Rosa
COR030;AR-M;1530;Santa Rosa;Mendoza;Santa Rosa
SFE206;AR-M;1531;Tunuyan;Mendoza;Tunuyan
NEU028;AR-M;1531;Tunuyan;Mendoza;Tunuyan
BUE015;AR-M;1529;San Rafael;Mendoza;San Rafael
MIS028;AR-B;1237;General Alvear;Buenos Aires;General Alvear
CHA024;AR-B;1284;Nueve de Julio;Buenos Aires;Nueve de Julio
LAP075;AR-B;1284;Nueve de Julio;Buenos Aires;Nueve de Julio
RNO028;AR-B;1284;Nueve de Julio;Buenos Aires;Nueve de Julio
LAP029;AR-B;1284;Nueve de Julio;Buenos Aires;Nueve de Julio
SJU017;AR-B;1284;Nueve de Julio;Buenos Aires;Nueve de Julio
MIS069;AR-B;1284;Nueve de Julio;Buenos Aires;Nueve de Julio
CHA059;AR-B;1284;Nueve de Julio;Buenos Aires;Nueve de Julio
BUE007;AR-B;1284;Nueve de Julio;Buenos Aires;Nueve de Julio
CBA307;AR-B;1202;Azul;Buenos Aires;Azul
BUE101;AR-B;1202;Azul;Buenos Aires;Azul
TDF003;AR-B;1250;General Viamonte;Buenos Aires;General Viamonte
JUJ030;AR-B;1250;General Viamonte;Buenos Aires;General Viamonte
MZA013;AR-B;1250;General Viamonte;Buenos Aires;General Viamonte
JUJ020;AR-B;1250;General Viamonte;Buenos Aires;General Viamonte
RNO037;AR-B;1250;General Viamonte;Buenos Aires;General Viamonte
SAL057;AR-B;1250;General Viamonte;Buenos Aires;General Viamonte
NEU025;AR-B;1225;Coronel Pringles;Buenos Aires;Coronel Pringles
BUE067;AR-B;1225;Coronel Pringles;Buenos Aires;Coronel Pringles
SFE242;AR-B;1225;Coronel Pringles;Buenos Aires;Coronel Pringles
CAT004;AR-B;1225;Coronel Pringles;Buenos Aires;Coronel Pringles
RNO017;AR-B;1225;Coronel Pringles;Buenos Aires;Coronel Pringles
SGO105;AR-B;1225;Coronel Pringles;Buenos Aires;Coronel Pringles
JUJ029;AR-B;1258;La Costa;Buenos Aires;La Costa
SGO108;AR-B;1258;La Costa;Buenos Aires;La Costa
RNO064;AR-B;1258;La Costa;Buenos Aires;La Costa
CHA002;AR-B;1258;La Costa;Buenos Aires;La Costa
SFE301;AR-B;1258;La Costa;Buenos Aires;La Costa
CAT032;AR-B;1258;La Costa;Buenos Aires;La Costa
JUJ047;AR-B;1296;Quilmes;Buenos Aires;Quilmes
SLU005;AR-B;1296;Quilmes;Buenos Aires;Quilmes
LAP060;AR-B;1296;Quilmes;Buenos Aires;Quilmes
JUJ038;AR-B;1296;Quilmes;Buenos Aires;Quilmes
SJU008;AR-B;1296;Quilmes;Buenos Aires;Quilmes
CHA007;AR-B;1296;Quilmes;Buenos Aires;Quilmes
JUJ051;AR-B;1296;Quilmes;Buenos Aires;Quilmes
CBA106;AR-B;1296;Quilmes;Buenos Aires;Quilmes
TUC107;AR-B;1208;Berisso;Buenos Aires;Berisso
SCR019;AR-B;1208;Berisso;Buenos Aires;Berisso
LRJ006;AR-B;1260;La Plata;Buenos Aires;La Plata
LAP067;AR-B;1260;La Plata;Buenos Aires;La Plata
BUE102;AR-B;1260;La Plata;Buenos Aires;La Plata
SLU057;AR-B;1260;La Plata;Buenos Aires;La Plata
NEU007;AR-B;1260;La Plata;Buenos Aires;La Plata
SAL034;AR-B;1260;La Plata;Buenos Aires;La Plata
CHU010;AR-B;1260;La Plata;Buenos Aires;La Plata
SAL044;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
CHU025;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
CBA296;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
SFE094;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
BUE010;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
CBA207;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
BUE099;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
BUE072;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
CHA028;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
JUJ024;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
JUJ013;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
CBA381;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
COR026;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
CBA014;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
TUC055;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
SCR014;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
COR011;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
BUE068;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
SAL005;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
SFE348;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
BUE118;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
TUC007;AR-B;1326;Vicente Lopez;Buenos Aires;Vicente Lopez
RNO032;AR-B;1263;Las Flores;Buenos Aires;Las Flores
SAL031;AR-B;1263;Las Flores;Buenos Aires;Las Flores
TUC004;AR-B;1263;Las Flores;Buenos Aires;Las Flores
SGO900;AR-B;1261;Lanus;Buenos Aires;Lanus
CBA091;AR-B;1261;Lanus;Buenos Aires;Lanus
SCR018;AR-B;1261;Lanus;Buenos Aires;Lanus
COR025;AR-B;1261;Lanus;Buenos Aires;Lanus
SFE199;AR-B;1261;Lanus;Buenos Aires;Lanus
BUE044;AR-B;1261;Lanus;Buenos Aires;Lanus
CBA301;AR-B;1261;Lanus;Buenos Aires;Lanus
COR002;AR-B;1261;Lanus;Buenos Aires;Lanus
BUE090;AR-B;1261;Lanus;Buenos Aires;Lanus
MIS030;AR-B;1261;Lanus;Buenos Aires;Lanus
CHU011;AR-B;1261;Lanus;Buenos Aires;Lanus
LAP034;AR-B;1261;Lanus;Buenos Aires;Lanus
BUE001;AR-B;1261;Lanus;Buenos Aires;Lanus
TUC088;AR-B;1210;Bragado;Buenos Aires;Bragado
CBA419;AR-B;1210;Bragado;Buenos Aires;Bragado
MIS064;AR-B;1210;Bragado;Buenos Aires;Bragado
JUJ004;AR-B;1210;Bragado;Buenos Aires;Bragado
SAL022;AR-B;1283;Necochea;Buenos Aires;Necochea
MIS012;AR-B;1283;Necochea;Buenos Aires;Necochea
SGO034;AR-B;1328;Villarino;Buenos Aires;Villarino
CBA140;AR-B;1328;Villarino;Buenos Aires;Villarino
RNO065;AR-B;1257;Junin;Buenos Aires;Junin
SFE318;AR-B;1257;Junin;Buenos Aires;Junin
SAL018;AR-B;1257;Junin;Buenos Aires;Junin
ERI036;AR-B;1240;General Guido;Buenos Aires;General Guido
CHU002;AR-B;1240;General Guido;Buenos Aires;General Guido
JUJ040;AR-B;1320;Tornquist;Buenos Aires;Tornquist
BUE030;AR-B;1288;Pellegrini;Buenos Aires;Pellegrini
CBA366;AR-B;1297;Ramallo;Buenos Aires;Ramallo
SFE056;AR-B;1308;San Cayetano;Buenos Aires;San Cayetano
SGO069;AR-B;1226;Coronel Suarez;Buenos Aires;Coronel Suarez
FOR033;AR-B;1268;Lobos;Buenos Aires;Lobos
RNO045;AR-B;1268;Lobos;Buenos Aires;Lobos
TUC086;AR-B;1268;Lobos;Buenos Aires;Lobos
SFE275;AR-B;1268;Lobos;Buenos Aires;Lobos
LRJ015;AR-B;1239;General Belgrano;Buenos Aires;General Belgrano
LRJ016;AR-B;1239;General Belgrano;Buenos Aires;General Belgrano
CHU032;AR-B;1239;General Belgrano;Buenos Aires;General Belgrano
CBA051;AR-B;1306;San Andres de Giles;Buenos Aires;San Andres de Giles
COR059;AR-B;1230;Escobar;Buenos Aires;Escobar
NEU017;AR-B;1230;Escobar;Buenos Aires;Escobar
SFE180;AR-B;1230;Escobar;Buenos Aires;Escobar
SFE295;AR-B;1271;Magdalena;Buenos Aires;Magdalena
ERI013;AR-B;1271;Magdalena;Buenos Aires;Magdalena
SFE260;AR-B;1271;Magdalena;Buenos Aires;Magdalena
MZA012;AR-B;1321;Trenque Lauquen;Buenos Aires;Trenque Lauquen
SFE040;AR-B;1278;Monte;Buenos Aires;Monte
COR065;AR-B;1278;Monte;Buenos Aires;Monte
MZA011;AR-B;1278;Monte;Buenos Aires;Monte
COR020;AR-B;1325;Veinticinco de Mayo;Buenos Aires;Veinticinco de Mayo
CHU030;AR-B;1205;Baradero;Buenos Aires;Baradero
CHU009;AR-B;1205;Baradero;Buenos Aires;Baradero
CAT015;AR-B;1294;Puan;Buenos Aires;Puan
RNO068;AR-B;1294;Puan;Buenos Aires;Puan
SFE326;AR-B;1267;Loberia;Buenos Aires;Loberia
TDF001;AR-B;1267;Loberia;Buenos Aires;Loberia
SLU011;AR-B;1267;Loberia;Buenos Aires;Loberia
SFE067;AR-B;1262;Laprida;Buenos Aires;Laprida
BUE124;AR-B;1262;Laprida;Buenos Aires;Laprida
SAL047;AR-B;1313;San Pedro;Buenos Aires;San Pedro
MIS053;AR-B;1313;San Pedro;Buenos Aires;San Pedro
RNO052;AR-B;1238;General Arenales;Buenos Aires;General Arenales
CBA376;AR-B;1285;Olavarria;Buenos Aires;Olavarria
BUE054;AR-B;1285;Olavarria;Buenos Aires;Olavarria
CHU037;AR-B;1285;Olavarria;Buenos Aires;Olavarria
BUE085;AR-B;1285;Olavarria;Buenos Aires;Olavarria
BUE094;AR-B;1195;Adolfo Alsina;Buenos Aires;Adolfo Alsina
BUE053;AR-B;1195;Adolfo Alsina;Buenos Aires;Adolfo Alsina
CBA171;AR-E;1435;Nogoya;Entre Rios;Nogoya
SFE033;AR-E;1435;Nogoya;Entre Rios;Nogoya
TUC082;AR-E;1435;Nogoya;Entre Rios;Nogoya
BUE056;AR-E;1435;Nogoya;Entre Rios;Nogoya
CAB000;AR-E;1433;Pueblo General Belgrano;Entre Rios;Gualeguaychu
SFE362;AR-E;1433;Pueblo General Belgrano;Entre Rios;Gualeguaychu
SFE129;AR-E;1433;Larroque;Entre Rios;Gualeguaychu
COR033;AR-E;1436;Basavilbaso;Entre Rios;Uruguay
BUE063;AR-E;1436;Basavilbaso;Entre Rios;Uruguay
SFE224;AR-E;1436;Basavilbaso;Entre Rios;Uruguay
BUE046;AR-E;1436;Basavilbaso;Entre Rios;Uruguay
SGO035;AR-E;1436;Pronunciamiento;Entre Rios;Uruguay
CHU021;AR-E;1434;General Ramirez;Entre Rios;Diamante
CAT018;AR-E;1439;Viale;Entre Rios;Parana
BUE045;AR-E;1439;Viale;Entre Rios;Parana
SJU004;AR-E;1446;Macia;Entre Rios;Tala
RNO070;AR-E;1446;Macia;Entre Rios;Tala
SJU010;AR-E;1446;Macia;Entre Rios;Tala
COR018;AR-E;1446;Macia;Entre Rios;Tala
MIS015;AR-E;1438;Villa Paranacito;Entre Rios;Islas del Ibicuy
TUC041;AR-E;1449;Villa Clara;Entre Rios;Villaguay
CHU046;AR-E;1445;General Galarza;Entre Rios;Gualeguay
SGO082;AR-E;1445;Gualeguay;Entre Rios;Gualeguay
CBA415;AR-N;1536;Dos de Mayo;Misiones;Cainguas
CAT003;AR-N;1546;San Vicente;Misiones;Guarani
TUC013;AR-N;1546;San Vicente;Misiones;Guarani
SFE020;AR-N;1546;El Soberbio;Misiones;Guarani
CBA011;AR-N;1546;El Soberbio;Misiones;Guarani
CBA107;AR-N;1541;Montecarlo;Misiones;Montecarlo
TUC009;AR-N;1541;Montecarlo;Misiones;Montecarlo
BUE069;AR-N;1534;Almafuerte;Misiones;Leandro N. Alem
SFE144;AR-N;1534;Cerro Azul;Misiones;Leandro N. Alem
SGO066;AR-N;1544;Puerto Iguazu;Misiones;Iguazu
CBA157;AR-N;1544;Puerto Iguazu;Misiones;Iguazu
COR027;AR-N;1544;Puerto Iguazu;Misiones;Iguazu
SFE108;AR-N;1544;Puerto Iguazu;Misiones;Iguazu
FOR031;AR-N;1544;Puerto Iguazu;Misiones;Iguazu
RNO043;AR-N;1544;Puerto Iguazu;Misiones;Iguazu
SFE257;AR-N;1544;Puerto Iguazu;Misiones;Iguazu
CHA041;AR-N;1544;Esperanza;Misiones;Iguazu
CBA154;AR-N;1544;Esperanza;Misiones;Iguazu
CAT012;AR-N;1544;Puerto Libertad;Misiones;Iguazu
CAT019;AR-N;1549;San Pedro;Misiones;San Pedro
JUJ032;AR-N;1538;Candelaria;Misiones;Candelaria
LRJ001;AR-N;1540;Ruiz de Montoya;Misiones;Libertador General San Martin
MZA001;AR-N;1547;Posadas;Misiones;Capital
SFE325;AR-N;1547;Posadas;Misiones;Capital
NEU053;AR-N;1547;Posadas;Misiones;Capital
SAL010;AR-N;1547;Posadas;Misiones;Capital
CBA155;AR-N;1547;Posadas;Misiones;Capital
BUE024;AR-N;1543;San Ignacio;Misiones;San Ignacio
ERI025;AR-N;1543;San Ignacio;Misiones;San Ignacio
LAP072;AR-N;1539;Campo Viera;Misiones;Obera
CBA100;AR-U;1368;Colan Conhue;Chubut;Languineo
COR012;AR-U;1376;Lagunita Salada;Chubut;Gastre
SFE116;AR-U;1376;Gastre;Chubut;Gastre
BUE025;AR-U;1376;Gastre;Chubut;Gastre
CHA054;AR-U;1376;Gastre;Chubut;Gastre
LAP007;AR-U;1376;Gastre;Chubut;Gastre
NEU020;AR-U;1371;Trevelin;Chubut;Futaleufu
SAL038;AR-U;1371;Corcovado;Chubut;Futaleufu
SCR020;AR-U;1375;Gan Gan;Chubut;Telsen
ERI021;AR-U;1379;Paso de Indios;Chubut;Paso de Indios
CHA001;AR-U;1369;Buen Pasto;Chubut;Sarmiento
CHU038;AR-U;1369;Buen Pasto;Chubut;Sarmiento
SFE255;AR-U;1377;Jose de San Martin;Chubut;Tehuelches
CAT031;AR-U;1377;Doctor Atilio Viglione;Chubut;Tehuelches
BUE017;AR-U;1372;Cushamen;Chubut;Cushamen
CBA012;AR-U;1378;Las Plumas;Chubut;Martires
ERI160;AR-H;1359;General Pinedo;Chaco;Doce de Octubre
MIS052;AR-H;1359;General Pinedo;Chaco;Doce de Octubre
SAL052;AR-H;1721;Quitilipi;Chaco;Quitilipi
CHU043;AR-H;1721;Quitilipi;Chaco;Quitilipi
BUE064;AR-H;1721;Quitilipi;Chaco;Quitilipi
SFE049;AR-H;1364;Machagai;Chaco;Veinticinco de Mayo
CBA221;AR-H;1347;Barranqueras;Chaco;San Fernando
ERI024;AR-H;1347;Barranqueras;Chaco;San Fernando
CHA046;AR-H;1347;Barranqueras;Chaco;San Fernando
CBA193;AR-H;1350;Charata;Chaco;Chacabuco
BUE114;AR-H;1349;Cote-Lai;Chaco;Tapenaga
CAT025;AR-H;1358;Villa Rio Bermejito;Chaco;General Guemes
SGO050;AR-H;1358;Miraflores;Chaco;General Guemes
LAP070;AR-H;1360;Isla del Cerrito;Chaco;Bermejo
BUE098;AR-H;1351;Santa Sylvina;Chaco;Fray Justo Santa Maria de Oro
CHU028;AR-L;1494;Veinticinco de Mayo;La Pampa;Puelen
JUJ001;AR-L;1494;Veinticinco de Mayo;La Pampa;Puelen
MZA010;AR-L;1494;Veinticinco de Mayo;La Pampa;Puelen
SAL014;AR-L;1477;General Pico;La Pampa;Maraco
SGO064;AR-L;1476;Realico;La Pampa;Realico
BUE048;AR-L;1483;Sarah;La Pampa;Chapaleufu
CBA258;AR-L;1483;Intendente Alvear;La Pampa;Chapaleufu
BUE002;AR-L;1483;Intendente Alvear;La Pampa;Chapaleufu
SCR007;AR-L;1480;Santa Rosa;La Pampa;Capital
BUE065;AR-L;1480;Santa Rosa;La Pampa;Capital
MIS002;AR-R;1576;Norquinco;Rio Negro;Norquinco
SFE028;AR-R;1576;Rio Chico;Rio Negro;Norquinco
SFE305;AR-R;1576;Mamuel Choique;Rio Negro;Norquinco
CHA068;AR-R;1573;Viedma;Rio Negro;Adolfo Alsina
SLU019;AR-R;1573;Viedma;Rio Negro;Adolfo Alsina
SCR010;AR-R;1573;Viedma;Rio Negro;Adolfo Alsina
ERI035;AR-R;1573;Viedma;Rio Negro;Adolfo Alsina
MZA018;AR-R;1573;Viedma;Rio Negro;Adolfo Alsina
SFE360;AR-R;1573;Viedma;Rio Negro;Adolfo Alsina
NEU057;AR-R;1573;Viedma;Rio Negro;Adolfo Alsina
CBA158;AR-R;1578;Sierra Grande;Rio Negro;San Antonio
COR049;AR-R;1578;Sierra Grande;Rio Negro;San Antonio
CBA318;AR-R;1578;San Antonio Oeste;Rio Negro;San Antonio
CAT005;AR-R;1569;General Fernandez Oro;Rio Negro;General Roca
SFE038;AR-R;1569;General Fernandez Oro;Rio Negro;General Roca
SFE115;AR-R;1577;Pichi Mahuida;Rio Negro;Pichi Mahuida
BUE096;AR-R;1566;Arroyo de la Ventana;Rio Negro;Valcheta
SAL013;AR-R;1568;Aguada Guzman;Rio Negro;El Cuy
LRJ017;AR-J;1595;Valle Fertil;San Juan;Valle Fertil
BUE031;AR-J;1595;Valle Fertil;San Juan;Valle Fertil
MIS032;AR-J;1593;Sarmiento;San Juan;Sarmiento
